Protein accession	Sequence MD5 digest	sequence length	Analysis	Signature accession	signature description	Start location	Stop location	Score	Status	Data	InterPro annotations accession	InterPro annotations description	NCBI annotation	species
gi|1149076692|gb|AQS99318.1|	9248ce1b79d76f1a5e725fde90e0ca0d	944	PANTHER	PTHR43775	FATTY ACID SYNTHASE	341	757	1.10E-89	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
Cluster-13398.27347	39b59d3bb9c62c1bc83ad100289a337d	1058	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	585	696	4.70E-20	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.27347	39b59d3bb9c62c1bc83ad100289a337d	1058	SMART	SM00825	Beta-ketoacyl synthase	313	748	1.90E-22	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.27347	39b59d3bb9c62c1bc83ad100289a337d	1058	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	312	566	2.50E-32	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.27347	39b59d3bb9c62c1bc83ad100289a337d	1058	Coils	Coil	Coil	263	283	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.27347	39b59d3bb9c62c1bc83ad100289a337d	1058	MobiDBLite	mobidb-lite	consensus disorder prediction	131	162	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.27347	39b59d3bb9c62c1bc83ad100289a337d	1058	Gene3D	G3DSA:3.40.47.10	-	309	772	3.30E-92	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.27347	39b59d3bb9c62c1bc83ad100289a337d	1058	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	3	241	3.00E-27	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.27347	39b59d3bb9c62c1bc83ad100289a337d	1058	PANTHER	PTHR43775	FATTY ACID SYNTHASE	310	880	1.20E-80	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.27347	39b59d3bb9c62c1bc83ad100289a337d	1058	CDD	cd00833	PKS	312	747	4.95E-86	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.27347	39b59d3bb9c62c1bc83ad100289a337d	1058	SUPERFAMILY	SSF53901	Thiolase-like	307	697	3.72E-43	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
gi|1149076682|gb|AQS99313.1|	dfbea0b4d42d955c442b6de3ddeca9fa	905	Gene3D	G3DSA:3.40.47.10	-	293	453	1.10E-47	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076682|gb|AQS99313.1|	dfbea0b4d42d955c442b6de3ddeca9fa	905	SUPERFAMILY	SSF53901	Thiolase-like	56	439	7.07E-38	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076682|gb|AQS99313.1|	dfbea0b4d42d955c442b6de3ddeca9fa	905	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	56	247	1.00E-33	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076682|gb|AQS99313.1|	dfbea0b4d42d955c442b6de3ddeca9fa	905	Gene3D	G3DSA:3.40.47.10	-	54	292	4.90E-50	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076682|gb|AQS99313.1|	dfbea0b4d42d955c442b6de3ddeca9fa	905	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	295	399	2.30E-25	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076682|gb|AQS99313.1|	dfbea0b4d42d955c442b6de3ddeca9fa	905	CDD	cd00833	PKS	62	443	5.01E-106	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076682|gb|AQS99313.1|	dfbea0b4d42d955c442b6de3ddeca9fa	905	PANTHER	PTHR43775	FATTY ACID SYNTHASE	55	443	1.80E-92	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076682|gb|AQS99313.1|	dfbea0b4d42d955c442b6de3ddeca9fa	905	SMART	SM00825	Beta-ketoacyl synthase	62	446	5.30E-43	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076440|gb|AQS99192.1|	cf8b882890849a2501dba9d581f3137c	1263	CDD	cd00833	PKS	380	794	1.67E-101	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076440|gb|AQS99192.1|	cf8b882890849a2501dba9d581f3137c	1263	Gene3D	G3DSA:3.40.47.10	-	355	820	1.80E-104	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076440|gb|AQS99192.1|	cf8b882890849a2501dba9d581f3137c	1263	PANTHER	PTHR43775	FATTY ACID SYNTHASE	361	794	6.20E-99	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076440|gb|AQS99192.1|	cf8b882890849a2501dba9d581f3137c	1263	SUPERFAMILY	SSF53901	Thiolase-like	596	794	1.54E-41	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076440|gb|AQS99192.1|	cf8b882890849a2501dba9d581f3137c	1263	SMART	SM00825	Beta-ketoacyl synthase	356	799	4.80E-30	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076440|gb|AQS99192.1|	cf8b882890849a2501dba9d581f3137c	1263	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	638	750	2.70E-31	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076440|gb|AQS99192.1|	cf8b882890849a2501dba9d581f3137c	1263	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	380	619	1.70E-25	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076440|gb|AQS99192.1|	cf8b882890849a2501dba9d581f3137c	1263	SUPERFAMILY	SSF53901	Thiolase-like	356	620	9.33E-28	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076440|gb|AQS99192.1|	cf8b882890849a2501dba9d581f3137c	1263	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	83	319	1.90E-41	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076642|gb|AQS99293.1|	5680a147cbea1f5b1122ecb0ce101cd3	974	SUPERFAMILY	SSF53901	Thiolase-like	368	728	5.00E-41	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076642|gb|AQS99293.1|	5680a147cbea1f5b1122ecb0ce101cd3	974	SMART	SM00825	Beta-ketoacyl synthase	371	785	3.00E-21	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076642|gb|AQS99293.1|	5680a147cbea1f5b1122ecb0ce101cd3	974	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	623	738	3.80E-25	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076642|gb|AQS99293.1|	5680a147cbea1f5b1122ecb0ce101cd3	974	PANTHER	PTHR43775	FATTY ACID SYNTHASE	364	784	6.20E-95	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076642|gb|AQS99293.1|	5680a147cbea1f5b1122ecb0ce101cd3	974	CDD	cd00833	PKS	369	783	5.41E-80	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076642|gb|AQS99293.1|	5680a147cbea1f5b1122ecb0ce101cd3	974	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	369	615	3.90E-35	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076642|gb|AQS99293.1|	5680a147cbea1f5b1122ecb0ce101cd3	974	Gene3D	G3DSA:3.40.47.10	-	363	806	1.60E-96	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076642|gb|AQS99293.1|	5680a147cbea1f5b1122ecb0ce101cd3	974	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	109	337	7.10E-65	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076642|gb|AQS99293.1|	5680a147cbea1f5b1122ecb0ce101cd3	974	PANTHER	PTHR43775:SF37	POLYKETIDE SYNTHASE	364	784	6.20E-95	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076624|gb|AQS99284.1|	7306c265a53b70be786e40912672a16e	1034	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	582	695	1.70E-14	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076624|gb|AQS99284.1|	7306c265a53b70be786e40912672a16e	1034	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	301	560	2.30E-33	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076624|gb|AQS99284.1|	7306c265a53b70be786e40912672a16e	1034	Gene3D	G3DSA:3.40.47.10	-	299	766	7.30E-92	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076624|gb|AQS99284.1|	7306c265a53b70be786e40912672a16e	1034	PANTHER	PTHR43775	FATTY ACID SYNTHASE	297	740	8.10E-74	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076624|gb|AQS99284.1|	7306c265a53b70be786e40912672a16e	1034	CDD	cd00833	PKS	301	740	5.62E-82	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076624|gb|AQS99284.1|	7306c265a53b70be786e40912672a16e	1034	SUPERFAMILY	SSF53901	Thiolase-like	298	689	4.48E-41	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076624|gb|AQS99284.1|	7306c265a53b70be786e40912672a16e	1034	SMART	SM00825	Beta-ketoacyl synthase	302	718	4.60E-21	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076420|gb|AQS99182.1|	c1679b1d3b5023ee85597711d61ddd16	1287	MobiDBLite	mobidb-lite	consensus disorder prediction	1	26	-	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076420|gb|AQS99182.1|	c1679b1d3b5023ee85597711d61ddd16	1287	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	663	775	1.90E-29	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076420|gb|AQS99182.1|	c1679b1d3b5023ee85597711d61ddd16	1287	CDD	cd00833	PKS	383	819	1.11E-112	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076420|gb|AQS99182.1|	c1679b1d3b5023ee85597711d61ddd16	1287	Gene3D	G3DSA:3.40.47.10	-	379	847	3.40E-108	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076420|gb|AQS99182.1|	c1679b1d3b5023ee85597711d61ddd16	1287	SUPERFAMILY	SSF53901	Thiolase-like	376	769	5.30E-50	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076420|gb|AQS99182.1|	c1679b1d3b5023ee85597711d61ddd16	1287	SMART	SM00825	Beta-ketoacyl synthase	386	824	1.30E-40	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076420|gb|AQS99182.1|	c1679b1d3b5023ee85597711d61ddd16	1287	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	383	642	1.20E-31	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076420|gb|AQS99182.1|	c1679b1d3b5023ee85597711d61ddd16	1287	PANTHER	PTHR43775	FATTY ACID SYNTHASE	372	820	2.40E-106	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076420|gb|AQS99182.1|	c1679b1d3b5023ee85597711d61ddd16	1287	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	111	346	3.50E-37	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
Cluster-13398.52906	24f9313b41a69db215dabf27d16050ee	1136	PANTHER	PTHR43775	FATTY ACID SYNTHASE	255	680	1.20E-97	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52906	24f9313b41a69db215dabf27d16050ee	1136	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	14	233	6.00E-35	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52906	24f9313b41a69db215dabf27d16050ee	1136	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	265	515	1.40E-38	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52906	24f9313b41a69db215dabf27d16050ee	1136	CDD	cd00833	PKS	293	680	1.37E-104	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52906	24f9313b41a69db215dabf27d16050ee	1136	Gene3D	G3DSA:3.40.47.10	-	261	705	1.80E-109	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52906	24f9313b41a69db215dabf27d16050ee	1136	SMART	SM00825	Beta-ketoacyl synthase	272	681	9.30E-26	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52906	24f9313b41a69db215dabf27d16050ee	1136	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52906	24f9313b41a69db215dabf27d16050ee	1136	SUPERFAMILY	SSF53901	Thiolase-like	261	631	2.62E-47	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52906	24f9313b41a69db215dabf27d16050ee	1136	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	526	638	4.80E-30	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.42990	ce3b8a05083edc90607bb361b021fcaa	1038	SUPERFAMILY	SSF53901	Thiolase-like	516	724	5.61E-28	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.42990	ce3b8a05083edc90607bb361b021fcaa	1038	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	288	539	2.50E-34	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.42990	ce3b8a05083edc90607bb361b021fcaa	1038	CDD	cd00833	PKS	289	724	1.19E-81	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.42990	ce3b8a05083edc90607bb361b021fcaa	1038	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	563	679	2.40E-17	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.42990	ce3b8a05083edc90607bb361b021fcaa	1038	Gene3D	G3DSA:3.40.47.10	-	286	743	2.80E-93	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.42990	ce3b8a05083edc90607bb361b021fcaa	1038	PANTHER	PTHR43775	FATTY ACID SYNTHASE	285	724	1.90E-81	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.42990	ce3b8a05083edc90607bb361b021fcaa	1038	Coils	Coil	Coil	35	55	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.42990	ce3b8a05083edc90607bb361b021fcaa	1038	SMART	SM00825	Beta-ketoacyl synthase	290	725	1.10E-21	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.42990	ce3b8a05083edc90607bb361b021fcaa	1038	SUPERFAMILY	SSF53901	Thiolase-like	288	540	1.27E-34	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.42990	ce3b8a05083edc90607bb361b021fcaa	1038	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	6	219	4.20E-24	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6017	ca6a18a5286a66c95a2498c08b5f9410	1297	CDD	cd00833	PKS	412	832	9.28E-132	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6017	ca6a18a5286a66c95a2498c08b5f9410	1297	SUPERFAMILY	SSF53901	Thiolase-like	405	829	2.64E-54	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6017	ca6a18a5286a66c95a2498c08b5f9410	1297	SMART	SM00825	Beta-ketoacyl synthase	407	835	9.80E-64	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6017	ca6a18a5286a66c95a2498c08b5f9410	1297	Gene3D	G3DSA:3.40.47.10	-	405	842	3.40E-121	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6017	ca6a18a5286a66c95a2498c08b5f9410	1297	MobiDBLite	mobidb-lite	consensus disorder prediction	1	34	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6017	ca6a18a5286a66c95a2498c08b5f9410	1297	PANTHER	PTHR43775	FATTY ACID SYNTHASE	402	832	3.30E-119	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6017	ca6a18a5286a66c95a2498c08b5f9410	1297	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	115	372	5.00E-32	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6017	ca6a18a5286a66c95a2498c08b5f9410	1297	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	674	788	2.30E-34	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6017	ca6a18a5286a66c95a2498c08b5f9410	1297	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	406	664	2.10E-41	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
gi|1149076538|gb|AQS99241.1|	f513c3b8d2a3bd98c8d937f2107af7fb	962	Gene3D	G3DSA:3.40.47.10	-	348	782	4.50E-89	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076538|gb|AQS99241.1|	f513c3b8d2a3bd98c8d937f2107af7fb	962	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	603	718	2.60E-22	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076538|gb|AQS99241.1|	f513c3b8d2a3bd98c8d937f2107af7fb	962	SMART	SM00825	Beta-ketoacyl synthase	350	765	9.20E-21	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076538|gb|AQS99241.1|	f513c3b8d2a3bd98c8d937f2107af7fb	962	SUPERFAMILY	SSF53901	Thiolase-like	567	764	6.20E-34	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076538|gb|AQS99241.1|	f513c3b8d2a3bd98c8d937f2107af7fb	962	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	366	595	5.00E-35	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076538|gb|AQS99241.1|	f513c3b8d2a3bd98c8d937f2107af7fb	962	PANTHER	PTHR43775:SF37	POLYKETIDE SYNTHASE	380	764	1.90E-87	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076538|gb|AQS99241.1|	f513c3b8d2a3bd98c8d937f2107af7fb	962	CDD	cd00833	PKS	352	764	1.93E-79	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076538|gb|AQS99241.1|	f513c3b8d2a3bd98c8d937f2107af7fb	962	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	93	320	4.30E-80	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076538|gb|AQS99241.1|	f513c3b8d2a3bd98c8d937f2107af7fb	962	PANTHER	PTHR43775	FATTY ACID SYNTHASE	380	764	1.90E-87	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076538|gb|AQS99241.1|	f513c3b8d2a3bd98c8d937f2107af7fb	962	SUPERFAMILY	SSF53901	Thiolase-like	366	598	9.00E-26	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	CDD	cd00833	PKS	317	733	5.10E-80	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	Gene3D	G3DSA:3.40.47.10	-	309	758	1.80E-96	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	MobiDBLite	mobidb-lite	consensus disorder prediction	895	932	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	SUPERFAMILY	SSF53901	Thiolase-like	309	678	9.79E-42	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	PANTHER	PTHR43775	FATTY ACID SYNTHASE	281	757	1.30E-86	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	MobiDBLite	mobidb-lite	consensus disorder prediction	823	855	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	MobiDBLite	mobidb-lite	consensus disorder prediction	1216	1248	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	Gene3D	G3DSA:2.60.40.3620	-	968	1061	7.20E-05	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	313	556	1.60E-40	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	SMART	SM00825	Beta-ketoacyl synthase	311	739	4.70E-21	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	MobiDBLite	mobidb-lite	consensus disorder prediction	824	838	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	MobiDBLite	mobidb-lite	consensus disorder prediction	1226	1248	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.5547	a0de5f2ff9155b1cedd85da78c456764	1248	MobiDBLite	mobidb-lite	consensus disorder prediction	898	914	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
